LAST NAME;FIRST NAME;MIDDLE NAME;ENDING TO LAST NAME;BRANCH OF SERVICE;OFFICER OR ENLISTED INDIVIDUAL;ABBREVIATION OF RANK;CODE FOR GRADE AND PAY;CODES FOR OFFICERS AND ENLISTED PERSONNEL;INDICATES MEMBERSHIP IN A SPECIFIC CORPS;UNIT / COMMAND IDENTIFICATION CODE;RECOMMENDED AWARD;DUTY ASSIGNMENT;TYPE OF ACTION COMMENDED BY THE ORIGINATOR;NUMBER OF TIMES THIS AWARD HAS BEEN GIVEN;START OF AWARD MERIT PERIOD;END OF AWARD MERIT PERIOD;NUMBER OF MONTHS IN MERIT AWARD PERIOD;INDICATOR FOR DISPLAYING MERIT_START_DATE AND MERIT_END_DATE ON REPORTS;GEOGRAPHIC AREA IN WHICH THE AWARD WAS EARNED;DATE AWARD RECOMMENDED;NAME OF AWARD ENDORSED BY CHIEF OF NAVAL OPERATIONS OR COMMANDANT OF THE MARINE CORPS;DATE ENDORSER SIGNS CASE;NAME OF APPROVED AWARD;AWARDING AUTHORITY CODE;DATE AWARD APPROVED;PARTICIPATING COMMANDS IDENTIFICATION;MULITIPLE RECORD IDENTIFICATION;DATE FROM COMMANDANT OF THE MARINE CORPS;MONTH, DAY, AND YEAR RECORD WAS ENTERED;TIME RECORD WAS ENTERED;MONTH, DAY, AND YEAR RECORD WAS MODIFIED;TIME RECORD WAS MODIFIED
GRENFELL;ELTON;W;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;MERITORIOUS;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;03/28/1942;538851;;;07/15/1988;163700;09/27/1992;210400
BENNETT;CARTER;L;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;SILVER STAR MEDAL;;HEROIC;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;11/27/1942;540988;;;07/15/1988;163800;09/27/1992;223100
KNOLL;DENYS;W;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;LEGION OF MERIT;;MERITORIOUS;1;01/01/1941;04/01/1942;16;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;LEGION OF MERIT;SECNAV;07/09/1942;539641;;;07/15/1988;163800;09/27/1992;214500
SCHUMACHER;VINCEN;;;NAVY;OFFICER;;Lieutenant (Junior Grade) OR First Lieutenant;;;5259;SILVER STAR MEDAL;;HEROIC;1;01/01/1941;01/01/1942;13;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;USA - U.S. ARMY;03/16/1942;543074;;;07/15/1988;163900;10/15/1992;102600
THACH;JOHN;S;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;DISTINGUISHED SERVICE MEDAL;;MERITORIOUS;1;02/01/1941;06/01/1941;5;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED SERVICE MEDAL;SECNAV;09/17/1942;539204;;;07/15/1988;163800;09/27/1992;211900
TAYLOR;EDMUND;B;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;2193;Undefined Code;;MERITORIOUS;0;11/01/1941;11/01/1942;13;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;Undefined Code;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;11/27/1942;538530;;;07/15/1988;163700;09/27/1992;205300
BULKELEY;JOHN;D;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;MEDAL OF HONOR;;HEROIC;1;12/01/1941;04/01/1942;5;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;MEDAL OF HONOR;PRESIDENT;08/04/1942;117956;;;07/15/1988;150000;09/13/1988;92300
BULKELEY;JOHN;D;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;1;12/01/1941;02/01/1942;3;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;05/25/1942;117957;;;07/15/1988;150000;09/13/1988;92300
ERLY;ROBERT;B;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;12/07/1941;12/07/1941;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;SECNAV;03/28/1942;336915;;;07/15/1988;153700;09/13/1988;100200
LABARRE;CARL;ANTHONY;;NAVY;OFFICER;;Colonel;3100;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;12/07/1941;12/07/1941;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;SECNAV;03/28/1942;427831;;;07/15/1988;161500;09/13/1988;102000
SYMONS;FLOYD;MURPHY;;NAVY;OFFICER;;Colonel;1100;;5259;SILVER STAR MEDAL;;HEROIC;1;12/10/1941;12/10/1941;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;SECNAV;07/06/1942;49462;;;07/15/1988;144700;09/13/1988;91100
CAMPBELL;DUNCAN;A;;NAVY;OFFICER;;Lieutenant (Junior Grade) OR First Lieutenant;;;5259;DISTINGUISHED FLYING CROSS;;HEROIC;1;12/27/1941;12/27/1941;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED FLYING CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;03/22/1942;542588;;;07/15/1988;163900;09/27/1992;234600
SYMONS;FLOYD;MURPHY;;NAVY;OFFICER;;Colonel;1100;;5259;SILVER STAR MEDAL;;HEROIC;2;01/01/1942;04/01/1942;4;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;12/24/1942;49461;;;07/15/1988;144700;09/13/1988;91100
PARKER;EDWARD;NEL;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;1;01/01/1942;01/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;06/20/1942;538534;;;07/15/1988;163700;09/27/1992;205300
